"user_location_us","top_words_with_freq"
"Alabama","something(2), will(2), “(1), “brodoyoumarvel(1), ”(1)"
"Arizona","nike(14), kaepernick(7), commercial(4), best(3), someone(3)"
"Arkansas","nike(3), care(2), dream(2), girls(2), new(2)"
"California","nike(103), kaepernick(47), love(19), new(19), believe(18)"
"Colorado","nike(11), kaepernick(4), inspired(3), realdonaldtrump(3), shoes(3)"
"Connecticut","realdonaldtrump(3), nike(2), thinking(2), absolutely(1), achieveit(1)"
"Delaware","nike(4), kaepernick(3), campaign(2), commercial(2), compassion(2)"
"Florida","nike(46), kaepernick(19), agod(14), gmt(11), message(9)"
"Georgia","nike(45), nfl(28), music(26), ⭐️stream(25), adidasfootball(25)"
"Hawaii","nike(6), kaepernick(2), allegiance(1), alot(1), change(1)"
"Idaho","kaepernick(2), alive(1), atlantafalcons(1), back(1), cure(1)"
"Illinois","nike(34), kaepernick(10), chicago(7), ad(6), brand(5)"
"Indiana","nike(31), kaepernick(10), new(7), commercial(6), ad(5)"
"Iowa","verydice(2), want(2), blackout(1), blackpink(1), blogging(1)"
"Kansas","nike(6), size(5), shoe(4), kid(2), old(2)"
"Kentucky","imwithkap(3), one(3), beats(2), make(2), nessnitty(2)"
"Likely not a US state","nike(819), kaepernick(235), new(126), realdonaldtrump(115), love(114)"
"Louisiana","nike(19), kaepernick(5), will(4), commercial(3), good(3)"
"Maine","america(1), american(1), anything(1), coherent(1), commercial(1)"
"Maryland","nike(11), kaepernick(3), will(3), black(2), commercial(2)"
"Massachusetts","nike(13), believe(4), best(4), great(4), serenawilliams(4)"
"Michigan","nike(30), kaepernick(11), new(7), bogo(5), justdidit(5)"
"Minnesota","nike(11), kaepernick(5), done(3), ad(2), colin(2)"
"Mississippi","“scholarships”(1), alabama(1), athletes(1), begreatallthetime(1), endorsement(1)"
"Missouri","nike(8), will(3), colin(2), golf(2), got(2)"
"Montana","standing(5), american(3), right(3), believeinsomething(2), blockbrett(1)"
"Nebraska","commercial(3), love(2), nike(2), ✊🌯✊🌯(1), american(1)"
"Nevada","nike(6), think(3), mjaintd(2), new(2), serena(2)"
"New Hampshire","favorability(3), corybooker(2), kaepernick(2), ‘just(1), campaign(1)"
"New Jersey","nike(18), kaepernick(5), campaign(4), nfl(4), advertising(3)"
"New Mexico","nike(4), air(1), anyone(1), ap(1), covered(1)"
"New York","nike(54), kaepernick(30), new(11), nfl(11), commercial(9)"
"North Carolina","nike(19), protest(6), back(5), just(5), see(4)"
"North Dakota","admit(1), commercial(1), debate(1), done(1), dont(1)"
"Ohio","nike(14), ad(3), colin(3), ever(3), kaepernick(3)"
"Oklahoma","blackexcellence(1), business(1), commercial(1), gold(1), good(1)"
"Oregon","nike(23), big(3), colinkaepernick(3), day(3), dream(3)"
"Pennsylvania","nike(19), kaepernick(4), love(4), one(4), eagles(3)"
"Rhode Island","campaign(2), nike(2), “sacrifice(1), asia(1), best(1)"
"South Carolina","nike(11), kaepernick(4), thinking(4), •(3), commercial(3)"
"South Dakota","anthem(1), choose(1), games(1), national(1), nfl(1)"
"Tennessee","nike(11), good(6), kaepernick(6), realdonaldtrump(5), one(4)"
"Texas","nike(58), kaepernick(13), new(8), will(8), commercial(7)"
"Utah","body(3), nike(3), car(2), care(2), kaepernick(2)"
"Vermont","country(3), nike(2), old(2), women(2), ad(1)"
"Virginia","nike(11), kaepernick(6), right(5), done(4), commercial(3)"
"Washington","nike(17), new(5), commercial(4), kaepernick(4), equality(3)"
"Washington DC","nike(13), kaepernick(7), commercial(4), best(3), ever(3)"
"Wisconsin","nike(8), new(6), commercial(3), kap(3), colin(2)"
"Wyoming","kaepernick(1), love(1), nike(1), thank(1)"
